troncon_unique_id,stop_depart_parent_id,stop_arrivee_parent_id,stop_depart_name,stop_arrivee_name,lat_depart_parent,lon_depart_parent,lat_arrivee_parent,lon_arrivee_parent
TU_BUS_000131,S5524,S5528,Léon Blum,Les Aubes,43.6090469666667,3.89024981,43.6138008275,3.8886448375
TU_BUS_000132,S5614,S5874,Port Marianne,Pont Juvénal,43.6020179433333,3.89975705,43.60621844,3.89814412
TU_BUS_000133,S5587,S5606,Paul Painlevé,Place de l'Europe,43.610214075,3.899097745,43.6073732642857,3.89375728142857
TU_BUS_000134,S5425,S5587,Colverts,Paul Painlevé,43.613751605,3.89815828,43.610214075,3.899097745
TU_BUS_000135,S5425,S5641,Colverts,Saint-Jean,43.613751605,3.89815828,43.61556012,3.897737535
TU_BUS_000136,S5549,S5641,Marie Durand,Saint-Jean,43.618352245,3.89799327,43.61556012,3.897737535
TU_BUS_000137,S5376,S5549,André Malraux,Marie Durand,43.619464315,3.900356205,43.618352245,3.89799327
TU_BUS_000138,S5376,S5656,André Malraux,Semard,43.619464315,3.900356205,43.6194078775,3.9037915875
TU_BUS_000139,S5595,S5656,Pierre Laroque,Semard,43.621339895,3.90431174,43.6194078775,3.9037915875
TU_BUS_000140,S5380,S5595,Apollo,Pierre Laroque,43.62192158,3.90883211,43.621339895,3.90431174
TU_BUS_000141,S5194,S5380,Mas de Rochet,Apollo,43.62563295,3.9061436,43.62192158,3.90883211
TU_BUS_000142,S5194,S5198,Mas de Rochet,Pioch Pelat,43.62563295,3.9061436,43.62624249,3.90223108
TU_BUS_000143,S5177,S5198,Charles de Gaulle,Pioch Pelat,43.62817536375,3.8974032625,43.62624249,3.90223108
TU_BUS_000144,S5606,S5960,Place de l'Europe,Pont Juvénal,43.6073732642857,3.89375728142857,43.606236945,3.89810751
TU_BUS_000145,S5614,S5960,Port Marianne,Pont Juvénal,43.6020179433333,3.89975705,43.606236945,3.89810751
TU_BUS_000146,S5529,S5586,Les Bouisses,Paul Fajon,43.5986651566667,3.83536415333333,43.596375575,3.83711203
TU_BUS_000147,S5478,S5586,Georges Danton,Paul Fajon,43.599587135,3.84309053,43.596375575,3.83711203
TU_BUS_000148,S5478,S5582,Georges Danton,Pas du Loup,43.599587135,3.84309053,43.601174545,3.8491566
TU_BUS_000149,S5521,S5582,Lavandin,Pas du Loup,43.600085025,3.8534572,43.601174545,3.8491566
TU_BUS_000150,S5521,S5678,Lavandin,Winston Churchill,43.600085025,3.8534572,43.599079645,3.8559168
TU_BUS_000151,S5674,S5678,Vivaldi,Winston Churchill,43.597050395,3.856066935,43.599079645,3.8559168
TU_BUS_000152,S5618,S5674,Puccini,Vivaldi,43.594965465,3.854100525,43.597050395,3.856066935
TU_BUS_000153,S5501,S5618,Irissou,Puccini,43.594025085,3.85288817,43.594965465,3.854100525
TU_BUS_000154,S5501,S5921,Irissou,Bugarel,43.594025085,3.85288817,43.592388475,3.852925135
TU_BUS_000155,S5522,S5921,Le Grand M,Bugarel,43.5909052933333,3.85484196,43.592388475,3.852925135
TU_BUS_000156,S5385,S5522,Avenue de Toulouse,Le Grand M,43.591585885,3.8579067,43.5909052933333,3.85484196
TU_BUS_000157,S5385,S5628,Avenue de Toulouse,Ronceray,43.591585885,3.8579067,43.59384411,3.860329205
TU_BUS_000158,S5477,S5628,Georges Brassens,Ronceray,43.59578297,3.862446515,43.59384411,3.860329205
TU_BUS_000159,S5477,S5487,Georges Brassens,Guillaume Janvier,43.59578297,3.862446515,43.598040665,3.864900295
TU_BUS_000160,S5440,S5652,Doria,Sainte-Thérèse,43.61261756,3.86784935666667,43.614197345,3.865369695
TU_BUS_000161,S5422,S5652,Collège Camille Claudel,Sainte-Thérèse,43.616432805,3.86207633,43.614197345,3.865369695
TU_BUS_000162,S5422,S5511,Collège Camille Claudel,La Gaillarde,43.616432805,3.86207633,43.6162808,3.858187035
TU_BUS_000163,S5511,S5597,La Gaillarde,Pierre Viala,43.6162808,3.858187035,43.617010685,3.85454391
TU_BUS_000164,S5534,S5597,Louis Ravaz,Pierre Viala,43.61987619,3.85181424,43.617010685,3.85454391
TU_BUS_000165,S5518,S5534,Las Rébès,Louis Ravaz,43.6207801,3.84921177,43.61987619,3.85181424
TU_BUS_000166,S5404,S5518,Cévennes,Las Rébès,43.622066595,3.846245,43.6207801,3.84921177
TU_BUS_000167,S5404,S5650,Cévennes,Sainte-Geneviève,43.622066595,3.846245,43.623240985,3.84422182
TU_BUS_000168,S5371,S5650,Alco,Sainte-Geneviève,43.625723385,3.83993123,43.623240985,3.84422182
TU_BUS_000169,S5371,S5409,Alco,Château d'Ô,43.625723385,3.83993123,43.631475258,3.842887188
TU_BUS_000170,S5409,S5647,Château d'Ô,Saint-Priest,43.631475258,3.842887188,43.634818815,3.843642525
TU_BUS_000171,S5571,S5647,Occitanie,Saint-Priest,43.6346144,3.84841683166667,43.634818815,3.843642525
TU_BUS_000172,S5374,S5571,Ambroise Paré,Occitanie,43.63804826,3.84768255,43.6346144,3.84841683166667
TU_BUS_000173,S5374,S5632,Ambroise Paré,Route de Ganges,43.63804826,3.84768255,43.642919055,3.845224225
TU_BUS_000174,S5377,S5632,Antennes,Route de Ganges,43.644728835,3.84211528,43.642919055,3.845224225
TU_BUS_000175,S5377,S5667,Antennes,Val d'Aurelle,43.644728835,3.84211528,43.642756905,3.83618943
TU_BUS_000176,S5381,S5667,Apothicaires,Val d'Aurelle,43.641653505,3.835046355,43.642756905,3.83618943
TU_BUS_000177,S5381,S5619,Apothicaires,Puech Villa,43.641653505,3.835046355,43.639904465,3.829553955
TU_BUS_000178,S5453,S5619,Euromédecine,Puech Villa,43.63905096,3.828146522,43.639904465,3.829553955
TU_BUS_000179,S5382,S5453,Appel du 18 Juin,Euromédecine,43.6367686,3.83041886,43.63905096,3.828146522
TU_BUS_000180,S5382,S5619,Appel du 18 Juin,Puech Villa,43.6367686,3.83041886,43.639904465,3.829553955
TU_BUS_000181,S5571,S5632,Occitanie,Route de Ganges,43.6346144,3.84841683166667,43.642919055,3.845224225
TU_BUS_000182,S5371,S5504,Alco,Jean Bart,43.625723385,3.83993123,43.62558389,3.83767525
TU_BUS_000183,S5576,S5652,Paladilhe,Sainte-Thérèse,43.61219869,3.86685039,43.614197345,3.865369695
TU_BUS_000184,S5516,S5580,Lagoya,Parc de la Lironde,43.612159575,3.905983735,43.607950215,3.90675267
TU_BUS_000185,S5516,S5600,Lagoya,Pinville,43.612159575,3.905983735,43.61397539,3.905371665
TU_BUS_000186,S5482,S5600,Goélands,Pinville,43.61637065,3.903234965,43.61397539,3.905371665
TU_BUS_000187,S5482,S5656,Goélands,Semard,43.61637065,3.903234965,43.6194078775,3.9037915875
