troncon_unique_id,stop_depart_parent_id,stop_arrivee_parent_id,stop_depart_name,stop_arrivee_name,lat_depart_parent,lon_depart_parent,lat_arrivee_parent,lon_arrivee_parent
TU_TRAM_000018,S5176,S5196,Centurions,Notre-Dame de Sablassou,43.63281155,3.915710385,43.6341134433333,3.92248383166667
TU_TRAM_000019,S5170,S5196,Aube Rouge,Notre-Dame de Sablassou,43.6389648725,3.9244866975,43.6341134433333,3.92248383166667
TU_TRAM_000020,S5170,S5818,Aube Rouge,Via Domitia,43.6389648725,3.9244866975,43.6465206325,3.9301688725
TU_TRAM_000021,S5186,S5818,Georges Pompidou,Via Domitia,43.64926689,3.92099404,43.6465206325,3.9301688725
TU_TRAM_000022,S5186,S5291,Georges Pompidou,Jacou,43.64926689,3.92099404,43.65462876,3.91282845333333
TU_TRAM_000023,S5760,S5761,Saint-Jean de Védas Centre,Saint-Jean le Sec,43.5748751566667,3.83045819333333,43.5708042575,3.8378316925
TU_TRAM_000024,S5751,S5761,La Condamine,Saint-Jean le Sec,43.571601,3.84420752,43.5708042575,3.8378316925
TU_TRAM_000025,S5751,S5766,La Condamine,Victoire 2,43.571601,3.84420752,43.57478939,3.84955883
TU_TRAM_000026,S5633,S5766,Sabines,Victoire 2,43.583822352,3.860158464,43.57478939,3.84955883
TU_TRAM_000027,S5470,S5514,Garcia Lorca,La Rauze,43.59120512625,3.89046299125,43.59349246,3.895730795
TU_TRAM_000028,S5479,S5514,Georges Frêche - Hôtel de Ville,La Rauze,43.5993348,3.89485735,43.59349246,3.895730795
TU_TRAM_000029,S5479,S5627,Georges Frêche - Hôtel de Ville,Rives du Lez,43.5993348,3.89485735,43.60404424,3.89493632
TU_TRAM_000030,S5606,S5627,Place de l'Europe,Rives du Lez,43.6073732642857,3.89375728142857,43.60404424,3.89493632
TU_TRAM_000031,S5606,S5613,Place de l'Europe,Pompignane,43.6073732642857,3.89375728142857,43.612593195,3.89495302
TU_TRAM_000032,S5528,S5613,Les Aubes,Pompignane,43.6138008275,3.8886448375,43.612593195,3.89495302
TU_TRAM_000033,S5431,S5528,Corum,Les Aubes,43.6142813775,3.881920795,43.6138008275,3.8886448375
TU_TRAM_000034,S5431,S5532,Corum,Louis Blanc - Agora de la Danse,43.6142813775,3.881920795,43.61474115,3.87836359
TU_TRAM_000035,S5532,S5837,Louis Blanc - Agora de la Danse,Albert 1er - Cathédrale,43.61474115,3.87836359,43.614789335,3.873712615
TU_TRAM_000036,S5590,S5837,Peyrou - Arc de Triomphe,Albert 1er - Cathédrale,43.611411855,3.872260775,43.614789335,3.873712615
TU_TRAM_000037,S5590,S5639,Peyrou - Arc de Triomphe,Saint-Guilhem - Courreau,43.611411855,3.872260775,43.607957435,3.873695805
TU_TRAM_000038,S5570,S5639,Observatoire,Saint-Guilhem - Courreau,43.60648325,3.876532465,43.607957435,3.873695805
TU_TRAM_000039,S5570,S5917,Observatoire,Gare Saint-Roch - République,43.60648325,3.876532465,43.60529725,3.87964274
TU_TRAM_000040,S5629,S5917,Rondelet,Gare Saint-Roch - République,43.6033504316667,3.875474865,43.60529725,3.87964274
TU_TRAM_000041,S5569,S5643,Nouveau Saint-Roch,Saint-Martin,43.59952028,3.875621165,43.59226806,3.880187605
TU_TRAM_000042,S5625,S5643,Restanque,Saint-Martin,43.590425105,3.884911805,43.59226806,3.880187605
TU_TRAM_000043,S5470,S5625,Garcia Lorca,Restanque,43.59120512625,3.89046299125,43.590425105,3.884911805
TU_TRAM_000044,S5401,S5563,Celleneuve,Mosson,43.615757055,3.82588522,43.616387998,3.819643266
TU_TRAM_000045,S5401,S5598,Celleneuve,Pilory,43.615757055,3.82588522,43.61948637,3.832014765
